Disease	DiseaseCUI
Osteoporosis	C0029456
Human Immunodeficiency Virus Infection	
Cholera	C0008354
Ebola Virus Infection	
Malaria	C0024530
Osteomalacia	C0029442
Hypercholesterolemia	C0020443
Diabetes Mellitus, Type 2	
Asthma	C0004096
Chronic Pancreatitis	
Alzheimer Disease	
Myocardial Infarction	C0027051
Duchenne Muscular Dystrophy	
Deficiency of N-glycanase 1	
Alcohol Dependence	
Major Depression	
Niemann Pick Type C	
Huntington Disease	C0020179
Alkaptonuria	C0002066
Sickle Cell Disease	
Post-Traumatic Stress Disorder	C0038436
