Drug	Condition	DrugCUI	ConditionCUI
BUTYLSCOPOLAMINE	Abdominal Pain	C2827093	C0000737
ADAPALENE	Acne Vulgaris	C0165631	C0001144
NADIFLOXACIN	Acne Vulgaris	C0286402	C0001144
TAZAROTENE	Acne Vulgaris	C0288792	C0001144
TICAGRELOR	Acute Coronary Syndrome	C1999375	C0948089
TIROFIBAN	Acute Coronary Syndrome	C0247025	C0948089
MERCAPTOPURINE	Precursor Cell Lymphoblastic Leukemia-Lymphoma	C0000618	
IDARUBICIN	Leukemia, Myeloid, Acute	C0020789	
NIMESULIDE	Acute Pain	C0132515	
TAMIBAROTENE	Leukemia, Promyelocytic, Acute	C1567753	
FLUDROCORTISONE	Addison Disease	C0016280	C0001403
DESOXYCORTONE	Addison Disease		C0001403
ACAMPROSATE	Alcoholism	C0284941	
METADOXINE	Hepatitis, Alcoholic	C0066042	C0019187
NALMEFENE	Alcoholism	C0068377	
NEDOCROMIL	Conjunctivitis, Allergic	C0068483	
PROMETHAZINE	Conjunctivitis, Allergic	C0033405	
PYRILAMINE	Rhinitis, Allergic	C0034282	
RUPATADINE	Rhinitis, Allergic	C0534301	
TRIPROLIDINE	Hypersensitivity	C0041098	C0020517
METHSCOPOLAMINE	Hypersensitivity	C0301374	C0020517
BAMIPINE	Hypersensitivity	C0052946	C0020517
PHENINDAMINE	Hypersensitivity	C0070563	C0020517
DEXCHLORPHENIRAMINE	Hypersensitivity	C0057606	C0020517
TACRINE	Alzheimer Disease	C0039245	
MEMANTINE	Alzheimer Disease	C0025242	
CYCLANDELATE	Alzheimer Disease	C0010525	
GALANTAMINE	Alzheimer Disease	C0016967	
PROGESTERONE	Amenorrhea	C0033308	C0002453
GONADORELIN	Amenorrhea	C0023610	C0002453
RILUZOLE	Amyotrophic Lateral Sclerosis	C0073379	C0002736
ALFATRADIOL	Alopecia	C1957081	C0002170
FOLIC ACID	Anemia, Megaloblastic	C0016410	C0002888
SEVOFLURANE	Anesthesia, General	C0074414	
PIPEROCAINE	Anesthetics, Local	C0071114	
ESATENOLOL	Angina Pectoris	C2825715	C0002962
ETAFENONE	Angina Pectoris	C0059677	C0002962
TROLNITRATE	Angina Pectoris	C0077377	C0002962
OXYFEDRINE	Angina Pectoris	C0030053	C0002962
PROPRANOLOL	Angina Pectoris	C0033497	C0002962
EFONIDIPINE	Angina Pectoris	C0286819	C0002962
GLUTODINE	Angioedema		C0002994
STANOZOLOL	Angioedema	C0038149	C0002994
ICATIBANT	Angioedemas, Hereditary	C0246269	C0019243
DRONABINOL	Anorexia		C0003123
URIDINE	Antimetabolites, Antineoplastic	C0041984	C0003377
TRYPTOPHAN	Anxiety	C0041249	C0003467
MEPROBAMATE	Anxiety	C0025386	C0003467
CHLORDIAZEPOXIDE	Anxiety	C0008188	C0003467
HALOXAZOLAM	Anxiety	C0120735	C0003467
PRAZEPAM	Anxiety	C0032910	C0003467
FLUDIAZEPAM	Anxiety	C0060485	C0003467
OXYMORPHONE	Anxiety	C0030073	C0003467
BARBEXACLONE	Anxiety	C0105205	C0003467
ESCITALOPRAM	Anxiety Disorders	C1099456	C0003469
LORAZEPAM	Anxiety Disorders	C0024002	C0003469
TRIFLUOPERAZINE	Anxiety Disorders	C0040979	C0003469
BUSPIRONE	Anxiety Disorders	C0006462	C0003469
ALPRAZOLAM	Anxiety Disorders	C0002333	C0003469
DOXEPIN	Anxiety Disorders	C0013085	C0003469
NORDAZEPAM	Anxiety Disorders	C0011279	C0003469
XYLAZINE	Anxiety Disorders	C0043366	C0003469
ELTROMBOPAG	Anemia, Aplastic	C1831905	
MORINIDAZOLE	Appendicitis	C2932137	C0003615
SPARTEINE	Arrhythmias, Cardiac	C0037760	
DESLANOSIDE	Arrhythmias, Cardiac	C0011689	
FLECAINIDE	Arrhythmias, Cardiac	C0016229	
VERAPAMIL	Arrhythmias, Cardiac	C0042523	
DISOPYRAMIDE	Arrhythmias, Cardiac	C0012702	
INDOMETHACIN	Arthritis	C0021246	C0003864
PROBENECID	Arthritis, Gouty	C0033209	C0003868
SULFINPYRAZONE	Arthritis, Gouty	C0038742	C0003868
KETOPROFEN	Arthritis, Rheumatoid	C0022635	
PIROXICAM	Arthritis, Rheumatoid	C0031990	
IGURATIMOD	Arthritis, Rheumatoid	C1872427	
TOFACITINIB	Arthritis, Rheumatoid	C2930696	
SULFASALAZINE	Arthritis, Rheumatoid	C0036078	
CELECOXIB	Arthritis, Rheumatoid	C0538927	
MELOXICAM	Arthritis, Rheumatoid	C0083381	
MERETHOXYLLINE	Ascites		C0003962
CHLORCYCLIZINE	Asthma	C0008183	C0004096
HEXOPRENALINE	Asthma	C0019476	C0004096
SERATRODAST	Asthma	C0050339	C0004096
BITOLTEROL	Asthma	C0053817	C0004096
OXITROPIUM	Asthma	C0069776	C0004096
PROXYPHYLLINE	Asthma	C0072511	C0004096
CLENBUTEROL	Asthma	C0008932	C0004096
TRETOQUINOL	Asthma	C0040846	C0004096
ZILEUTON	Asthma	C0081408	C0004096
CLORPRENALINE	Asthma	C0055943	C0004096
DYPHYLLINE	Asthma	C0013360	C0004096
DOXOFYLLINE	Asthma	C0058721	C0004096
REPIRINAST	Asthma	C0073071	C0004096
SALMETEROL	Asthma	C0073992	C0004096
CLOPIDOGREL	Atherosclerosis	C0070166	C0004153
PYRICARBATE	Atherosclerosis		C0004153
SULCONAZOLE	Tinea Pedis	C0075503	C0040259
EDOXABAN	Atrial Fibrillation	C2975435	C0004238
OUABAIN	Atrial Fibrillation	C0029904	C0004238
